dimension,k,r,model_volume,euclidean_volume_same_dim,ratio_to_euclidean
2,1.0,0.2170886075949367,0.14747474974727776,0.14805529326317318,0.9960788736214686
2,1.0,0.24493670886075952,0.18753627533167844,0.18847668247696275,0.9950104854726565
2,1.0,0.2727848101265823,0.23232477323319983,0.2337707871028255,0.9938143944863836
2,1.0,0.30063291139240506,0.28180551144882154,0.28393760714076155,0.9924909711206976
2,1.0,0.3284810126582279,0.33594011929793227,0.3389771425907709,0.9910406251299809
2,1.0,0.35632911392405064,0.39468661717753445,0.39888939345285335,0.9894638053949267
2,1.0,0.3841772151898734,0.45799944911605095,0.4636743597270091,0.9877609997363251
2,1.0,0.41202531645569623,0.5258295181004871,0.5333320414132382,0.985932734712749
2,1.0,0.439873417721519,0.5981242241495537,0.6078624385115405,0.9839795754022364
2,1.0,0.4677215189873418,0.6748275051032295,0.6872655510219163,0.9819021251680776
2,1.0,0.4955696202531646,0.7558798800971273,0.7715413789443649,0.9797010254088174
2,1.0,0.5234177215189874,0.841218495687954,0.8606899222788871,0.9773769552925894
2,1.0,0.5512658227848102,0.9307771745942953,0.9547111810254827,0.9749306314759201
2,1.0,0.579113924050633,1.024486467014927,1.0536051551841514,0.9723628078071286
2,1.0,0.6069620253164558,1.122273704484859,1.1573718447548935,0.9696742750144681
2,1.0,0.6348101265822785,1.2240630562273453,1.2660112497377083,0.9668658603791603
2,1.0,0.6626582278481014,1.329775587958168,1.3795233701325966,0.9639384273934795
2,1.0,0.6905063291139242,1.4393293230965811,1.4979082059395585,0.9608928754040479
2,1.0,0.7183544303797469,1.5526393063354642,1.621165757158593,0.9577301392405212
2,1.0,0.7462025316455697,1.669617669521375,1.749296023789701,0.95445118882983
2,1.0,0.7740506329113925,1.7901736997934194,1.8822990058328828,0.951057028796177
2,1.0,0.8018987341772154,1.9142139099281015,2.020174703288138,0.9475486980469713
2,1.0,0.8297468354430381,2.0416421108355953,2.1629231161554654,0.9439272693449022
2,1.0,0.8575949367088609,2.1723594861512323,2.3105442444348667,0.9401938488663597
2,1.0,0.8854430379746837,2.306264668864346,2.463038088126341,0.936349575746409
2,1.0,0.9132911392405064,2.443253819925064,2.6204046472298885,0.9323956216105417
2,1.0,0.9411392405063292,2.5832207087680894,2.78264392174551,0.9283331900934255
2,1.0,0.9689873417721521,2.726056795691005,2.9497559116732046,0.9241635163448796
2,1.0,0.9968354430379748,2.8716513160232626,3.121740617012972,0.9198878665233223
2,1.0,1.0246835443037976,3.0198913660205458,3.2985980377648123,0.9155075372769205
2,1.0,1.0525316455696203,3.1706619904179147,3.480328173928726,0.9110238552126972
2,1.0,1.0803797468354432,3.323846271573844,3.6669310255047143,0.9064381763538494
2,1.0,1.108227848101266,3.4793254201360124,3.8584065924927744,0.9017518855855334
2,1.0,1.1360759493670887,3.6369788671585477,4.054754874892907,0.8969663960893829
2,1.0,1.1639240506329116,3.7966843575992844,4.255975872705116,0.8920831487670292
2,1.0,1.1917721518987343,3.958318045124531,4.462069585929395,0.887103611652901
2,1.0,1.219620253164557,4.121754588147842,4.673036014565748,0.8820292793165782
2,1.0,1.24746835443038,4.286867247028292,4.888875158614176,0.8768616722549872
2,1.0,1.2753164556962027,4.4535279823529095,5.109587018074676,0.8716023362747282
2,1.0,1.3031645569620254,4.621607554227032,5.3351715929472485,0.8662528418648237
2,1.0,1.3310126582278483,4.790975622495605,5.565628883231896,0.8608147835601897
2,1.0,1.358860759493671,4.961500847817673,5.800958888928616,0.8552897792961289
2,1.0,1.3867088607594937,5.13305099351574,6.041161610037407,0.8496794697541548
2,1.0,1.4145569620253167,5.305493028120957,6.286237046558275,0.8439855176994515
2,1.0,1.4424050632911394,5.478693228534652,6.536185198491213,0.8382096073102904
2,1.0,1.4702531645569623,5.6525172837262,6.791006065836228,0.8323534434997096
2,1.0,1.498101265822785,5.8268303988868055,7.050699648593314,0.82641875122979
2,1.0,1.5259493670886077,6.001497399958449,7.315265946762473,0.8204072748188382
